id,level,deck,number,japanese,reading,meaning,kanji_note,example,example_ko,source
N5-047,N5,1,47,調べる,しらべる,"조사하다, 찾아보다",調 조사할 조,辞書（じしょ）で調（しら）べます。,사전으로 찾아봅니다.,JLPT_N5_vocab.md
N5-048,N5,1,48,約束,やくそく,약속,約 맺을 약 / 束 묶을 속,約束（やくそく）を守（まも）ります。,약속을 지킵니다.,JLPT_N5_vocab.md
N5-049,N5,1,49,返事,へんじ,"대답, 답장",返 돌이킬 반 / 事 일 사,返事（へんじ）をください。,답장을 주세요.,JLPT_N5_vocab.md
N5-050,N5,1,50,探す,さがす,찾다,探 찾을 탐,鍵（かぎ）を探（さが）しています。,열쇠를 찾고 있습니다.,JLPT_N5_vocab.md
N5-051,N5,2,51,特別だ,とくべつだ,특별하다,特 특별할 특 / 別 다를 별,今日（きょう）は特別（とくべつ）な日（ひ）です。,오늘은 특별한 날입니다.,JLPT_N5_vocab.md
N5-052,N5,2,52,手伝う,てつだう,돕다,手 손 수 / 伝 전할 전,母（はは）を手伝（てつだ）います。,엄마를 돕습니다.,JLPT_N5_vocab.md
N5-053,N5,2,53,係,かかり,"담당, 담당자",係 맬 계,私（わたし）は掃除（そうじ）の係（かかり）です。,나는 청소 담당입니다.,JLPT_N5_vocab.md
N5-054,N5,2,54,社員,しゃいん,"사원, 회사원",社 회사 사 / 員 인원 원,兄（あに）は会社（かいしゃ）の社員（しゃいん）です。,형은 회사의 사원입니다.,JLPT_N5_vocab.md
N5-055,N5,2,55,急ぐ,いそぐ,서두르다,急 급할 급,急（いそ）いでください。,서둘러 주세요.,JLPT_N5_vocab.md
N5-056,N5,2,56,用意,ようい,준비,用 쓸 용 / 意 뜻 의,明日（あした）の用意（ようい）をします。,내일 준비를 합니다.,JLPT_N5_vocab.md
N5-057,N5,2,57,都会,とかい,"도회, 도시",都 도읍 도 / 会 모일 회,東京（とうきょう）は大（おお）きい都会（とかい）です。,도쿄는 큰 도시입니다.,JLPT_N5_vocab.md
N5-058,N5,2,58,待つ,まつ,기다리다,待 기다릴 대,友（とも）だちを待（ま）ちます。,친구를 기다립니다.,JLPT_N5_vocab.md
N5-059,N5,2,59,景色,けしき,경치,景 경치 경 / 色 빛 색,景色（けしき）がきれいです。,경치가 예쁩니다.,JLPT_N5_vocab.md
N5-060,N5,2,60,利用,りよう,이용,利 이로울 리 / 用 쓸 용,図書館（としょかん）を利用（りよう）します。,도서관을 이용합니다.,JLPT_N5_vocab.md
N5-061,N5,2,61,理由,りゆう,이유,理 다스릴 리 / 由 말미암을 유,理由（りゆう）が分（わ）かりません。,이유를 모르겠습니다.,JLPT_N5_vocab.md
N5-062,N5,2,62,細かい,こまかい,"잘다, 세세하다",細 가늘 세,細（こま）かい字（じ）を書（か）きます。,작고 세세한 글씨를 씁니다.,JLPT_N5_vocab.md
N5-063,N5,2,63,頼む,たのむ,"부탁하다, 주문하다",頼 의뢰할 뢰,コーヒーを頼（たの）みます。,커피를 주문합니다.,JLPT_N5_vocab.md
N5-064,N5,2,64,ぬるい,ぬるい,미지근하다,温 따뜻할 온,お茶（ちゃ）がぬるいです。,차가 미지근합니다.,JLPT_N5_vocab.md
N5-065,N5,2,65,野菜,やさい,채소,野 들 야 / 菜 나물 채,野菜（やさい）を食（た）べます。,채소를 먹습니다.,JLPT_N5_vocab.md
N5-066,N5,2,66,甘い,あまい,달다,甘 달 감,このケーキは甘（あま）いです。,이 케이크는 답니다.,JLPT_N5_vocab.md
N5-067,N5,2,67,台所,だいどころ,부엌,台 대 대 / 所 바 소,台所（だいどころ）で料理（りょうり）します。,부엌에서 요리합니다.,JLPT_N5_vocab.md
N5-068,N5,2,68,部屋,へや,방,部 떼 부 / 屋 집 옥,私（わたし）の部屋（へや）は広（ひろ）いです。,내 방은 넓습니다.,JLPT_N5_vocab.md
N5-069,N5,2,69,世話,せわ,"보살핌, 신세",世 세상 세 / 話 말씀 화,犬（いぬ）の世話（せわ）をします。,강아지를 돌봅니다.,JLPT_N5_vocab.md
N5-070,N5,2,70,予約,よやく,예약,予 미리 예 / 約 맺을 약,ホテルを予約（よやく）します。,호텔을 예약합니다.,JLPT_N5_vocab.md
N5-071,N5,2,71,押す,おす,"밀다, 누르다",押 누를 압,ボタンを押（お）してください。,버튼을 눌러 주세요.,JLPT_N5_vocab.md
N5-072,N5,2,72,引く,ひく,당기다,引 끌 인,ドアを引（ひ）きます。,문을 당깁니다.,JLPT_N5_vocab.md
N5-073,N5,2,73,危険だ,きけんだ,위험하다,危 위태할 위 / 険 험할 험,ここは危険（きけん）です。,여기는 위험합니다.,JLPT_N5_vocab.md
N5-074,N5,2,74,増える,ふえる,"늘다, 증가하다",増 더할 증,人（ひと）が増（ふ）えました。,사람이 늘었습니다.,JLPT_N5_vocab.md
N5-075,N5,2,75,困る,こまる,곤란하다,困 곤할 곤,お金（かね）がなくて困（こま）っています。,돈이 없어서 곤란합니다.,JLPT_N5_vocab.md
N5-076,N5,2,76,答える,こたえる,대답하다,答 대답 답,質問（しつもん）に答（こた）えます。,질문에 대답합니다.,JLPT_N5_vocab.md
N5-077,N5,2,77,招待する,しょうたいする,초대하다,招 부를 초 / 待 기다릴 대,友（とも）だちを招待（しょうたい）します。,친구를 초대합니다.,JLPT_N5_vocab.md
N5-078,N5,2,78,走る,はしる,달리다,走 달릴 주,公園（こうえん）を走（はし）ります。,공원을 달립니다.,JLPT_N5_vocab.md
N5-079,N5,2,79,丁寧だ,ていねいだ,공손하다,丁 고무래 정 / 寧 편안할 녕,丁寧（ていねい）に話（はな）します。,공손하게 말합니다.,JLPT_N5_vocab.md
N5-080,N5,2,80,渡す,わたす,"건네다, 넘기다",渡 건널 도,先生（せんせい）に紙（かみ）を渡（わた）します。,선생님께 종이를 건넵니다.,JLPT_N5_vocab.md
N5-081,N5,2,81,両親,りょうしん,부모님,両 두 량 / 親 친할 친,両親（りょうしん）は元気（げんき）です。,부모님은 건강하십니다.,JLPT_N5_vocab.md
N5-082,N5,2,82,男性,だんせい,"남성, 남자",男 사내 남 / 性 성품 성,あの男性（だんせい）は先生（せんせい）です。,저 남성은 선생님입니다.,JLPT_N5_vocab.md
N5-083,N5,2,83,人,ひと,사람,人 사람 인,あの人（ひと）は先生（せんせい）です。,저 사람은 선생님입니다.,JLPT_N5_vocab.md
N5-084,N5,2,84,大勢,おおぜい,많은 사람들,大 클 대 / 勢 기세 세,大勢（おおぜい）の人（ひと）がいます。,많은 사람들이 있습니다.,JLPT_N5_vocab.md
N4-001,N4,1,1,厳しい,きびしい,"엄하다, 엄격하다",厳 엄할 엄,先生（せんせい）は厳（きび）しいです。,선생님은 엄합니다.,JLPT_N4_vocab.md
N4-002,N4,1,2,礼,れい,"인사, 예의, 답례",礼 예도 례,お礼（れい）を言（い）います。,감사의 인사를 합니다.,JLPT_N4_vocab.md
N4-003,N4,1,3,祝い,いわい,"축하, 축하 선물",祝 빌 축,誕生日（たんじょうび）のお祝（いわ）いをします。,생일 축하를 합니다.,JLPT_N4_vocab.md
N4-004,N4,1,4,挨拶する,あいさつする,인사하다,挨 밀칠 애 / 拶 다그칠 찰,先生（せんせい）に挨拶（あいさつ）します。,선생님께 인사합니다.,JLPT_N4_vocab.md
N4-005,N4,1,5,写真,しゃしん,사진,写 베낄 사 / 真 참 진,写真（しゃしん）を撮（と）ります。,사진을 찍습니다.,JLPT_N4_vocab.md
N4-006,N4,1,6,経験する,けいけんする,경험하다,経 지날 경 / 験 시험 험,いい経験（けいけん）をしました。,좋은 경험을 했습니다.,JLPT_N4_vocab.md
N4-007,N4,1,7,泊まる,とまる,"숙박하다, 머무르다",泊 머무를 박,ホテルに泊（と）まります。,호텔에 묵습니다.,JLPT_N4_vocab.md
N4-008,N4,1,8,遊ぶ,あそぶ,놀다,遊 놀 유,公園（こうえん）で遊（あそ）びます。,공원에서 놉니다.,JLPT_N4_vocab.md
N4-009,N4,1,9,指,ゆび,손가락,指 가리킬 지,指（ゆび）が痛（いた）いです。,손가락이 아픕니다.,JLPT_N4_vocab.md
N4-010,N4,1,10,首,くび,"목, 고개",首 머리 수,首（くび）が痛（いた）いです。,목이 아픕니다.,JLPT_N4_vocab.md
N4-011,N4,1,11,眠い,ねむい,졸리다,眠 잠잘 면,とても眠（ねむ）いです。,매우 졸립니다.,JLPT_N4_vocab.md
N4-012,N4,1,12,病気,びょうき,병,病 병 병 / 気 기운 기,病気（びょうき）で学校（がっこう）を休（やす）みました。,병 때문에 학교를 쉬었습니다.,JLPT_N4_vocab.md
N4-013,N4,1,13,元気だ,げんきだ,"건강하다, 활기차다",元 근본 원 / 気 기운 기,私は元気（げんき）です。,저는 건강합니다.,JLPT_N4_vocab.md
N4-014,N4,1,14,心配だ,しんぱいだ,걱정스럽다,心 마음 심 / 配 나눌 배,試験（しけん）が心配（しんぱい）です。,시험이 걱정됩니다.,JLPT_N4_vocab.md
N4-015,N4,1,15,今度,こんど,"이번, 다음번",今 이제 금 / 度 법도 도,今度（こんど）会（あ）いましょう。,다음에 만납시다.,JLPT_N4_vocab.md
N4-016,N4,1,16,最初,さいしょ,"최초, 처음",最 가장 최 / 初 처음 초,最初（さいしょ）に名前（なまえ）を書（か）きます。,처음에 이름을 씁니다.,JLPT_N4_vocab.md
N4-017,N4,1,17,遅れる,おくれる,늦다,遅 늦을 지,学校（がっこう）に遅（おく）れます。,학교에 늦습니다.,JLPT_N4_vocab.md
N4-018,N4,1,18,間に合う,まにあう,시간에 맞다,間 사이 간 / 合 합할 합,学校（がっこう）に間（ま）に合（あ）いました。,학교에 제시간에 도착했습니다.,JLPT_N4_vocab.md
N4-019,N4,1,19,夕方,ゆうがた,저녁 무렵,夕 저녁 석 / 方 방향 방,夕方（ゆうがた）に帰（かえ）ります。,저녁 무렵에 돌아갑니다.,JLPT_N4_vocab.md
N4-020,N4,1,20,昼,ひる,낮,昼 낮 주,昼（ひる）にご飯（はん）を食（た）べます。,낮에 밥을 먹습니다.,JLPT_N4_vocab.md
N4-021,N4,1,21,以上,いじょう,이상,以 써 이 / 上 위 상,三人（さんにん）以上（いじょう）来（き）ました。,3명 이상 왔습니다.,JLPT_N4_vocab.md
N4-022,N4,1,22,将来,しょうらい,"장래, 미래",将 장차 장 / 来 올 래,将来（しょうらい）の計画（けいかく）があります。,장래 계획이 있습니다.,JLPT_N4_vocab.md
N4-023,N4,1,23,途中,とちゅう,도중,途 길 도 / 中 가운데 중,学校（がっこう）へ行（い）く途中（とちゅう）です。,학교에 가는 도중입니다.,JLPT_N4_vocab.md
N4-024,N4,1,24,都合,つごう,"형편, 사정",都 도읍 도 / 合 합할 합,明日（あした）は都合（つごう）が悪（わる）いです。,내일은 사정이 안 좋습니다.,JLPT_N4_vocab.md
N4-025,N4,1,25,早い,はやい,"이르다, 빠르다",早 이를 조,早（はや）く起（お）きます。,일찍 일어납니다.,JLPT_N4_vocab.md
N4-026,N4,1,26,似合う,にあう,어울리다,似 닮을 사 / 合 합할 합,その服（ふく）、よく似合（にあ）います。,그 옷 잘 어울립니다.,JLPT_N4_vocab.md
N4-027,N4,1,27,茶色,ちゃいろ,갈색,茶 차 차 / 色 빛 색,茶色（ちゃいろ）の靴（くつ）を買（か）いました。,갈색 신발을 샀습니다.,JLPT_N4_vocab.md
N4-028,N4,1,28,手袋,てぶくろ,장갑,手 손 수 / 袋 자루 대,寒（さむ）いので手袋（てぶくろ）をします。,추워서 장갑을 낍니다.,JLPT_N4_vocab.md
N4-029,N4,1,29,着る,きる,입다,着 입을 착,服（ふく）を着（き）ます。,옷을 입습니다.,JLPT_N4_vocab.md
N4-030,N4,1,30,指輪,ゆびわ,반지,指 가리킬 지 / 輪 바퀴 륜,指輪（ゆびわ）を買（か）いました。,반지를 샀습니다.,JLPT_N4_vocab.md
N4-031,N4,1,31,違う,ちがう,"다르다, 틀리다",違 어긋날 위,答（こた）えが違（ちが）います。,답이 틀립니다.,JLPT_N4_vocab.md
N4-032,N4,1,32,選ぶ,えらぶ,선택하다,選 가릴 선,本（ほん）を選（えら）びます。,책을 고릅니다.,JLPT_N4_vocab.md
N4-033,N4,1,33,取り替える,とりかえる,"바꾸다, 교환하다",取 취할 취 / 替 바꿀 체,電池（でんち）を取（と）り替（か）えます。,건전지를 교체합니다.,JLPT_N4_vocab.md
N4-034,N4,1,34,勉強する,べんきょうする,공부하다,勉 힘쓸 면 / 強 강할 강,毎日（まいにち）日本語（にほんご）を勉強（べんきょう）します。,매일 일본어를 공부합니다.,JLPT_N4_vocab.md
N4-035,N4,1,35,研究,けんきゅう,연구,研 갈 연 / 究 궁구할 구,大学（だいがく）で研究（けんきゅう）します。,대학에서 연구합니다.,JLPT_N4_vocab.md
N4-036,N4,1,36,意見,いけん,의견,意 뜻 의 / 見 볼 견,意見（いけん）を言（い）います。,의견을 말합니다.,JLPT_N4_vocab.md
N4-037,N4,1,37,試験,しけん,시험,試 시험할 시 / 験 시험 험,明日（あした）、試験（しけん）があります。,내일 시험이 있습니다.,JLPT_N4_vocab.md
N4-038,N4,1,38,字,じ,"글자, 글씨",字 글자 자,この字（じ）は難（むずか）しいです。,이 글자는 어렵습니다.,JLPT_N4_vocab.md
N4-039,N4,1,39,問題,もんだい,문제,問 물을 문 / 題 제목 제,問題（もんだい）を解（と）きます。,문제를 풉니다.,JLPT_N4_vocab.md
N4-040,N4,1,40,難しい,むずかしい,어렵다,難 어려울 난,この問題（もんだい）は難（むずか）しいです。,이 문제는 어렵습니다.,JLPT_N4_vocab.md
N4-041,N4,1,41,簡単だ,かんたんだ,간단하다,簡 대쪽 간 / 単 홑 단,この問題（もんだい）は簡単（かんたん）です。,이 문제는 간단합니다.,JLPT_N4_vocab.md
N4-042,N4,1,42,授業,じゅぎょう,수업,授 줄 수 / 業 업 업,授業（じゅぎょう）が始（はじ）まります。,수업이 시작됩니다.,JLPT_N4_vocab.md
N4-043,N4,1,43,出席,しゅっせき,출석,出 날 출 / 席 자리 석,授業（じゅぎょう）に出席（しゅっせき）します。,수업에 출석합니다.,JLPT_N4_vocab.md
N4-044,N4,1,44,相談,そうだん,"상담, 상의",相 서로 상 / 談 말씀 담,先生（せんせい）に相談（そうだん）します。,선생님께 상담합니다.,JLPT_N4_vocab.md
N4-045,N4,1,45,通う,かよう,다니다,通 통할 통,学校（がっこう）に通（かよ）っています。,학교에 다니고 있습니다.,JLPT_N4_vocab.md
N4-046,N4,1,46,営業,えいぎょう,영업,営 경영할 영 / 業 업 업,店（みせ）は営業中（えいぎょうちゅう）です。,가게는 영업 중입니다.,JLPT_N4_vocab.md
N4-047,N4,1,47,払う,はらう,지불하다,払 떨칠 불,お金（かね）を払（はら）います。,돈을 지불합니다.,JLPT_N4_vocab.md
N4-048,N4,1,48,生活,せいかつ,생활,生 날 생 / 活 살 활,日本（にほん）で生活（せいかつ）しています。,일본에서 생활하고 있습니다.,JLPT_N4_vocab.md
N4-049,N4,1,49,紹介する,しょうかいする,소개하다,紹 이을 소 / 介 낄 개,友（とも）だちを紹介（しょうかい）します。,친구를 소개합니다.,JLPT_N4_vocab.md
N4-050,N4,1,50,残念だ,ざんねんだ,"유감스럽다, 아쉽다",残 남을 잔 / 念 생각 념,それは残念（ざんねん）です。,그것은 유감스럽습니다.,JLPT_N4_vocab.md
N4-051,N4,2,51,集まる,あつまる,모이다,集 모을 집,駅（えき）の前（まえ）に集（あつ）まりましょう。,역 앞에 모입시다.,JLPT_N4_vocab.md
N4-052,N4,2,52,決まる,きまる,결정되다,決 정할 결,予定（よてい）が決（き）まりました。,예정이 정해졌습니다.,JLPT_N4_vocab.md
N4-053,N4,2,53,落ちる,おちる,떨어지다,落 떨어질 락,本（ほん）が落（お）ちました。,책이 떨어졌습니다.,JLPT_N4_vocab.md
N4-054,N4,2,54,立つ,たつ,서다,立 설 립,ここに立（た）ってください。,여기에 서 주세요.,JLPT_N4_vocab.md
N4-055,N4,2,55,建つ,たつ,건물이 세워지다,建 세울 건,駅（えき）の前（まえ）にビルが建（た）っています。,역 앞에 빌딩이 세워져 있습니다.,JLPT_N4_vocab.md
N4-056,N4,2,56,割れる,われる,깨지다,割 나눌 할,コップが割（わ）れました。,컵이 깨졌습니다.,JLPT_N4_vocab.md
EXTRA-001,추가,1,1,延期,えんき,"연기, 일정 미룸",延 끌 연 / 期 기약할 기,試験（しけん）が延期（えんき）になりました。,시험이 연기되었습니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-002,추가,1,2,機械,きかい,기계,機 틀 기 / 械 기계 계,この機械（きかい）は便利（べんり）です。,이 기계는 편리합니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-003,추가,1,3,議会,ぎかい,의회,議 의논할 의 / 会 모일 회,議会（ぎかい）で話（はな）し合（あ）います。,의회에서 논의합니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-004,추가,1,4,訓練,くんれん,훈련,訓 가르칠 훈 / 練 익힐 련,毎日（まいにち）訓練（くんれん）します。,매일 훈련합니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-005,추가,1,5,家具,かぐ,가구,家 집 가 / 具 갖출 구,新（あたら）しい家具（かぐ）を買（か）いました。,새 가구를 샀습니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-006,추가,1,6,偶然,ぐうぜん,우연,偶 짝 우 / 然 그러할 연,駅（えき）で偶然（ぐうぜん）会（あ）いました。,역에서 우연히 만났습니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-007,추가,1,7,会計,かいけい,"계산, 결제, 회계",会 모일 회 / 計 셀 계,会計（かいけい）をお願（ねが）いします。,계산 부탁드립니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-008,추가,1,8,計算,けいさん,"계산, 산수 계산",計 셀 계 / 算 셈 산,計算（けいさん）が難（むずか）しいです。,계산이 어렵습니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-009,추가,1,9,経営,けいえい,경영,経 지날 경 / 営 경영할 영,父（ちち）は会社（かいしゃ）を経営（けいえい）しています。,아버지는 회사를 경영하고 있습니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-010,추가,1,10,月末,げつまつ,월말,月 달 월 / 末 끝 말,月末（げつまつ）は忙（いそが）しいです。,월말은 바쁩니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-011,추가,1,11,集合,しゅうごう,"집합, 모임",集 모을 집 / 合 합할 합,駅（えき）に集合（しゅうごう）してください。,역에 모여 주세요.,JLPT_enki_to_fuku_vocab.md
EXTRA-012,추가,1,12,存在,そんざい,존재,存 있을 존 / 在 있을 재,彼（かれ）の存在（そんざい）は大（おお）きいです。,그의 존재는 큽니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-013,추가,1,13,指導,しどう,"지도, 가르쳐 이끔",指 가리킬 지 / 導 인도할 도,先生（せんせい）が学生（がくせい）を指導（しどう）します。,선생님이 학생을 지도합니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-014,추가,1,14,文字,もじ,"문자, 글자",文 글월 문 / 字 글자 자,小（ちい）さい文字（もじ）が読（よ）みにくいです。,작은 글자는 읽기 어렵습니다.,JLPT_enki_to_fuku_vocab.md
EXTRA-015,추가,1,15,維持,いじ,유지,"維=벼리 유(糸), 持=가질 지(扌); 붙잡아 이어 둠",健康（けんこう）を維持（いじ）します。,건강을 유지합니다.,JLPT_enki_to_fuku_vocab.md; JLPT_after_MD_vocab_collection_7_1.md
EXTRA-016,추가,1,16,合図,あいず,신호,合 합할 합 / 図 그림 도,先生（せんせい）が合図（あいず）を出（だ）しました。,선생님이 신호를 보냈습니다.,JLPT_enki_to_fuku_vocab.md
